Acetylcholinrezeptor	Acetylcholine receptor
Mandelat	Mandelate
Methadon	Methadone
Methylon	Methylone
Molybdän	Molybdenum
Morphium	Morphine
Octanoat	Octanoate
Ornithin	Ornithine
Oxolinat	Oxolinate
Oxycodon	oxyCODONE
Phosphat	Phosphate
Phytanat	Phytanate
Primidon	Primidone
Protamin	Protamine
Rotbuche	Beech Fagus IgE Ab
Sarkosin	Sarcosine
Silizium	Silicon
Speichel	salivary
Stavudin	Stavudine
Succinat	Succinate
Sulfatid	Sulfatide
Sulpirid	Sulpiride
Threonin	Threonine
Thyroxin	Thyroxine
Truthahn	Turkey
Valproat	Valproate
Vorsicht	Alert
Zellzahl	Cells counted
Zucchini	Squash zucchini
Zylinder	Casts
atypisch	abnormal
dysmorph	dysmorphic
instabil	unstable
knospend	budding
oxidiert	oxidized
prä-beta	pre-beta
zyklisch	cyclic
Anserin	Anserine
Antimon	Antimony
Arginin	Arginine
Atropin	Atropine
Benzoat	Benzoate
Blasten	Blasts
Butylon	Butylone
Carotin	Carotene
Cefepim	Cefepime
Cefixim	Cefixime
Chlorid	Chloride
Cotinin	Cotinine
Creatin	Creatine
Cystein	Cysteine
Dopamin	DOPamine
Fluorid	Fluoride
Fumarat	Fumarate
Fusidat	Fusidate
HFE-Gen	HFE
Ketamin	Ketamine
Knochen	bone
Koffein	Caffeine
Lysosom	Lysosome
Lysozym	Lysozyme
Mafenid	Mafenide
Maligne	Malignant cells
Myokard	Myocardium
Naloxon	Naloxone
Natrium	Sodium
Non-HDL	non HDL
Parasit	Parasite
Pflaume	Prune
Procain	Procaine
Pyknose	Pyknosis
Pyruvat	Pyruvate
Schleim	Mucus
Sebacat	Sebacate
Suberat	Suberate
Thiamin	Thiamine
Trübung	Turbidity
Tyrosin	Tyrosine
Zelltyp	Cell type
homogen	homogeneous
kardial	cardiac
löslich	soluble
monomer	monomeric
squamös	squamous
Aceton	Acetone
Alanin	Alanine
Andere	Other cells
Anhang	Addendum
Asbest	Asbestos
Benzen	Benzene
Bismut	Bismuth
Bromid	Bromide
Chinin	quiNINE
Citrat	Citrate
Codein	Codeine
Cyanid	Cyanide
Cystin	Cystine
Dapson	Dapsone
Eigelb	Egg yolk
Eiweiß	Egg white
Estron	Estrone
Geruch	Odor
Gesamt	Total
Glycin	Glycine
Histon	Histone
Hyphen	hyphae
Kalium	Potassium
Kasein	Casein
Ketone	Ketones
Kobalt	Cobalt
Kokain	Cocaine
Kupfer	Copper
Lactat	Lactate
Leucin	Leucine
Liquor	CSF
Mangan	Manganese
Muskat	Nutmeg
Nitrit	Nitrite
Opiate	Opiates
Orotat	Orotate
Oxalat	Oxalate
Prolin	Proline
Riesen	giant
Silber	Silver
Sulfat	Sulfate
Taurin	Taurine
Toluol	Toluene
Umfang	Circumference
abnorm	abnormal
amorph	amorphous
andere	other
intakt	intact
revers	reverse
unreif	immature
Ahorn	Maple
Aktin	Actin
Alter	Age
Arsen	Arsenic
Beruf	Occupation History of Occupation
Buche	Beech Fagus IgE Ab
Chrom	Chromium
Eisen	Iron
Folat	Folate
Fuchs	Fox
Galle	Bile
Honig	Honey
Leber	liver
Lysin	Lysine
Malat	Malate
Motte	Moth
Pilze	Fungi
Seide	Silk
Selen	Selenium
Serin	Serine
Valin	Valine
klein	small
makro	macro
Blei	Lead
Blut	Blood
Fett	Fat
Hefe	Yeast
Huhn	Chicken
Klee	Clover
Lamm	Lamb
Malz	Malt
NuMA	Nuclear mitotic apparatus
Ovar	Ovary
Pilz	Fungus
RAST	RAST class
Rübe	Beet
Senf	Mustard
Urin	urine
Zink	Zinc
Zinn	Tin
groß	large
kurz	brief
reif	mature
Bor	Boron
Jod	Iodine
