Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
ガラクトース不耐症	Galactose intolerance
キャビンフィーバー	Cabin fever
クラミジア外陰腟炎	Vulvovaginitis chlamydial
クラミジア性尿道炎	Urethritis chlamydial
クラミジア性直腸炎	Proctitis chlamydial
クラミジア性眼感染	Eye infection chlamydial
クラミジア性結膜炎	Conjunctivitis chlamydial
クラミジア検査陰性	Chlamydia test negative
クラミジア検査陽性	Chlamydia test positive
クラミジア気管支炎	Chlamydial bronchitis
クラリスロマイシン	Clarithromycin
クレブシエラ膀胱炎	Cystitis klebsiella
クロノバクター感染	Cronobacter infection
クロモハロバクター	Chromohalobacter
グリココール酸増加	Glycocholic acid increased
グリコヘモグロビン	Glycosylated haemoglobin
グリンスパン症候群	Grinspan syndrome
グルカゴン分泌障害	Glucagon secretion disorder
グルカゴン刺激試験	Glucagon stimulation test
グルカゴン負荷試験	Glucagon tolerance test
グルタミン酸生産菌	Brevibacterium flavum
グルテンなしの食事	Gluten free diet
コクサッキー心筋炎	Coxsackie myocarditis
コクサッキー心膜炎	Coxsackie pericarditis
コクシエラ検査陽性	Coxiella test positive
コリン作動性症候群	Cholinergic syndrome
コルポスコピー正常	Colposcopy normal
コルポスコピー異常	Colposcopy abnormal
コロジオンベイビー	Collodion baby
コロナウイルス感染	Coronavirus infection
コロナウイルス検査	Coronavirus test
コールドフラッシュ	Cold flash
ゴキブリアレルギー	Cockroach allergy
サッカロポリスポラ	Saccharopolyspora
サリドマイド胎芽病	Thalidomide embryopathy
サルモネラ性敗血症	Salmonella sepsis
サルモネラ性菌血症	Salmonella bacteraemia
サルモネラ検査陰性	Salmonella test negative
サルモネラ検査陽性	Salmonella test positive
サルモネラ菌性肺炎	Pneumonia salmonella
サングイス連鎖球菌	Streptococcus sanguis
シアノトキシン中毒	Cyanotoxin intoxication
シトロバクター感染	Citrobacter infection
シトロバクター検査	Citrobacter test
シュワン細胞腫切除	Schwannoma resection
シュードモナス感染	Pseudomonas infection
シュードモナス検査	Pseudomonas test
ショウジョウバエ属	Drosophila
ジアルジア検査陰性	Giardia test negative
ジアルジア検査陽性	Giardia test positive
ジェーンウェー病変	Janeway lesion
ジストニア重積状態	Status dystonicus
スタフィロコッカス	Staphylococcus
ステロイド活性増加	Increased steroid activity
ステント開存性維持	Stent patency maintenance
ストレプトバシラス	Streptobacillus
ストレプトマイシン	Streptomycin
ストレプトマイセス	Streptomyces
ストーマ部そう痒感	Stoma site pruritus
ストーマ部カンジダ	Stoma site candida
ストーマ部ヘルニア	Stomal hernia
ストーマ部ポリープ	Stoma site polyp
ストーマ部異常感覚	Stoma site paraesthesia
ストーマ部知覚低下	Stoma site hypoaesthesia
ストーマ部管外漏出	Stoma site extravasation
ストーマ部過剰肉芽	Stoma site hypergranulation
ストーマ部過敏反応	Stoma site hypersensitivity
スピリルム検査陽性	Spirillum test positive
スペクチノマイシン	Spectinomycin
スポーツ心臓症候群	Athletic heart syndrome
スローウイルス感染	Slow virus infection
セファリン絮状反応	Cephalin flocculation
センシング振幅減少	Sensing amplitude decreased
ソルビトール不耐症	Sorbitol intolerance
チチュウカイミバエ	Ceratitis capitata
チフス菌キャリアー	Typhoid carrier
チャレンジ部位反応	Challenge site reaction
チョウセンアサガオ	Datura metel
ティネッティテスト	Tinetti test
テンシロン試験正常	Tensilon test normal
テンシロン試験異常	Tensilon test abnormal
デスミンミオパチー	Desmin myopathy
デスミン遺伝子変異	Desmin gene mutation
デメクロサイクリン	Demeclocycline
デングウイルス検査	Dengue virus test
デングウイルス血症	Dengue viraemia
トラガント(植物)	Astragalus gummifer
トリコスポロン感染	Trichosporon infection
トリプル内視鏡検査	Triple endoscopy
トルンヴァルト嚢炎	Tornwaldt cyst
トロンビン時間延長	Thrombin time prolonged
トロンビン時間正常	Thrombin time normal
トロンビン時間異常	Thrombin time abnormal
トロンビン時間短縮	Thrombin time shortened
トロンビン生成試験	Thrombin generation assay
トロンボキサン増加	Thromboxane increased
トロンボキサン減少	Thromboxane decreased
トークテノウイルス	Torque teno virus
ドライウェイト評価	Dry weight evaluation
ドライラング症候群	Dry lung syndrome
ナイセリア・シッカ	Neisseria sicca
ナイセリア検査陰性	Neisseria test negative
ナイセリア検査陽性	Neisseria test positive
ニコチンアミド増加	Nicotinamide increased
ニコチンアミド減少	Nicotinamide decreased
ニコチンアレルギー	Nicotine allergy
ネズミ肺炎ウイルス	Murine pneumonia virus
ノカルジア性敗血症	Nocardia sepsis
ノカルジア検査陽性	Nocardia test positive
ハイデルベルク分類	Heidelberg classification
ハプトグロビン増加	Haptoglobin increased
ハプトグロビン正常	Haptoglobin normal
ハプトグロビン減少	Haptoglobin decreased
ハプトグロビン異常	Haptoglobin abnormal
ハンセン病、境界群	Borderline leprosy
ハンタウイルス感染	Hantaviral infection
ハンタウイルス検査	Hantavirus test
ハンターンウイルス	Hantaan virus
バイタルサイン測定	Vital signs measurement
バクテロイデス感染	Bacteroides infection
バニリルマンデル酸	Vanillyl mandelic acid
バルタザールスコア	Balthazar score
バルトネラ検査陰性	Bartonella test negative
バルトネラ検査陽性	Bartonella test positive
バルビツール酸陰性	Barbiturates negative
バルビツール酸陽性	Barbiturates positive
バンクロフト糸状虫	Wuchereria bancrofti
バージニアマイシン	Virginiamycin
バーローテスト陰性	Barlow test negative
バーローテスト陽性	Barlow test positive
パスツレラ検査陽性	Pasteurella test positive
パドヴァ予測スコア	Padua prediction score
パラシュート僧帽弁	Parachute mitral valve
パラ大腸菌性胃腸炎	Gastroenteritis paracolon bacillus
パルボウイルス感染	Parvovirus infection
パレコウイルス感染	Parechovirus infection
パーソナリティ障害	Personality disorder
パートナーとの和解	Reconciliation with partner
ヒスタミン濃度増加	Histamine level increased
ヒスタミン濃度減少	Histamine level decreased
ヒスタミン遊離試験	Histamine release test
ヒステリー性精神病	Hysterical psychosis
ヒトのエーリキア症	Human ehrlichiosis
ヒトアナプラズマ症	Human anaplasmosis
ビブリオ・ミミカス	Vibrio mimicus
ビリルビン排泄障害	Bilirubin excretion disorder
ピルビン酸キナーゼ	Pyruvate kinase
ピンプリックテスト	Pinprick test
ファイファー症候群	Pfeiffer syndrome
ファウンテン症候群	Fountain syndrome
ファゼカススケール	Fazekas scale
ファンコニー症候群	Fanconi syndrome
ファントムショック	Phantom shocks
フィブリン分解産物	Fibrin degradation products
フィロウイルス感染	Filovirus infection
フェントラミン試験	Phentolamine test
フサリウム心内膜炎	Fusarium endocarditis
フラビウイルス感染	Flavivirus infection
フラビウイルス検査	Flavivirus test
フリクテン角結膜炎	Phlyctenular keratoconjunctivitis
フルクトサミン増加	Fructosamine increased
フルクトサミン正常	Fructosamine normal
フルクトサミン減少	Fructosamine decreased
フレイジャー症候群	Frasier syndrome
ブドウ球菌性中耳炎	Otitis media staphylococcal
ブドウ球菌性創感染	Wound infection staphylococcal
ブドウ球菌性咽頭炎	Staphylococcal pharyngitis
ブドウ球菌性毒血症	Staphylococcal toxaemia
ブドウ球菌性眼感染	Eye infection staphylococcal
ブドウ球菌性眼瞼炎	Staphylococcal blepharitis
ブドウ球菌性縦隔炎	Staphylococcal mediastinitis
ブドウ球菌性耳感染	Ear infection staphylococcal
ブドウ球菌性胃腸炎	Gastroenteritis staphylococcal
ブドウ球菌性膿痂疹	Staphylococcal impetigo
ブドウ球菌性菌血症	Staphylococcal bacteraemia
ブドウ球菌性蜂巣炎	Cellulitis staphylococcal
ブドウ球菌性骨髄炎	Staphylococcal osteomyelitis
ブドウ球菌性髄膜炎	Meningitis staphylococcal
ブドウ球菌検査陰性	Staphylococcus test negative
ブドウ球菌検査陽性	Staphylococcus test positive
ブドウ球菌皮膚感染	Staphylococcal skin infection
ブルンストローム法	Bruunstrom approach
ブレイクスルー溶血	Breakthrough haemolysis
プラセンタルレイク	Placental lake
プリスチナマイシン	Pristinamycin
プレアルブミン増加	Prealbumin increased
プレアルブミン減少	Prealbumin decreased
プレアルブミン異常	Prealbumin abnormal
プロゲステロン増加	Progesterone increased
プロゲステロン正常	Progesterone normal
プロゲステロン減少	Progesterone decreased
プロゲステロン異常	Progesterone abnormal
プロゲステロン療法	Progestin therapy
プロテウス検査陽性	Proteus test positive
プロトロンビン指数	Prothrombin index
プロトロンビン時間	Prothrombin time
プロビデンシア感染	Providencia infection
ヘアリー細胞白血病	Hairy cell leukaemia
ヘパプラスチン増加	Hepaplastin increased
ヘパプラスチン正常	Hepaplastin normal
ヘパプラスチン減少	Hepaplastin decreased
ヘパプラスチン異常	Hepaplastin abnormal
ヘマトクリット増加	Haematocrit increased
ヘマトクリット正常	Haematocrit normal
ヘマトクリット減少	Haematocrit decreased
ヘマトクリット異常	Haematocrit abnormal
ヘモグロビン分布幅	Haemoglobin distribution width
ヘモフィルス性肺炎	Pneumonia haemophilus
ヘリコバクター感染	Helicobacter infection
ヘリコバクター検査	Helicobacter test
ベイヨネラ検査陽性	Veillonella test positive
ベネズエラウマ脳炎	Encephalitis venezuelan equine
ベンジャミン症候群	Benjamin syndrome
ペンドレッド症候群	Pendred syndrome
ペースメーカー調律	Pacemaker generated rhythm
ホメオパシー的悪化	Homeopathic aggravation
ホモバニリン酸増加	Homovanillic acid increased
ボツリヌス毒素注入	Botulinum toxin injection
ボルデテラ検査陰性	Bordetella test negative
ボルデテラ検査陽性	Bordetella test positive
ボルナウイルス感染	Borna virus infection
ボーエン病様丘疹症	Bowenoid papulosis
ボーダー病ウイルス	Border disease virus
ポリオウイルス検査	Poliovirus test
ポリマーアレルギー	Polymers allergy
ポリマーヒューム熱	Polymer fume fever
ポルフィロマイシン	Porfiromycin
マイクロ眼瞼剥離術	Microblepharoexfoliation procedure
マイコプラズマ感染	Mycoplasma infection
マイコプラズマ検査	Mycoplasma test
マイトゲン刺激試験	Mitogen stimulation test
マイボーム腺分泌物	Meibomian gland discharge
マウス肝炎ウイルス	Murine hepatitis virus
マクロファージ増加	Macrophages increased
マクロファージ減少	Macrophages decreased
マグネトスピリラム	Magnetospirillum
マラリア血液スミア	Malaria blood smear
マンソン住血吸虫症	Schistosomiasis mansoni
ミクソーマウイルス	Myxoma virus
ミトコンドリア毒性	Mitochondrial toxicity
ミュヒニック症候群	Mutchinick syndrome
ミンク腸炎ウイルス	Mink enteritis virus
ムラサキウマゴヤシ	Medicago sativa
メチラポン負荷試験	Metyrapone challenge test
メチルマロン酸血症	Methylmalonic acidaemia
メラニン細胞過形成	Melanocytic hyperplasia
メラノサイト性母斑	Melanocytic naevus
メープルシロップ病	Maple syrup disease
モラクセラ検査陽性	Moraxella test positive
モラクセラ菌性肺炎	Pneumonia moraxella
モルガネラ検査陽性	Morganella test positive
モーリアック症候群	Mauriac syndrome
ユースタキオ弁肥大	Eustachian valve hypertrophy
ライノウイルス感染	Rhinovirus infection
ラクトース負荷試験	Lactose tolerance test
リウマチ因子定量法	Rheumatoid factor quantitative
リウマチ性多発筋痛	Polymyalgia rheumatica
リウマチ性心内膜炎	Endocarditis rheumatic
リウマチ性滑液包炎	Rheumatoid bursitis
リウマトイド強膜炎	Rheumatoid scleritis
リステリア性敗血症	Listeria sepsis
リステリア検査陽性	Listeria test positive
リンパ性脈絡髄膜炎	Choriomeningitis lymphocytic
リンパ球幼若化試験	Lymphocyte transformation test
リンパ球性リンパ腫	Lymphocytic lymphoma
リンパ球性下垂体炎	Lymphocytic hypophysitis
リンパ球百分率増加	Lymphocyte percentage increased
リンパ球百分率減少	Lymphocyte percentage decreased
リンパ球百分率異常	Lymphocyte percentage abnormal
リンパ節超音波検査	Ultrasound lymph nodes
リンパ系マッピング	Lymphatic mapping
リンパ芽球形態正常	Lymphoblast morphology normal
リンパ芽球形態異常	Lymphoblast morphology abnormal
ルブラウイルス検査	Rubulavirus test
レジオネラ検査陰性	Legionella test negative
レジオネラ検査陽性	Legionella test positive
レジオネラ菌性肺炎	Pneumonia legionella
レチノール結合蛋白	Retinol binding protein
レトロウイルス感染	Retroviral infection
レプトトリキア感染	Leptotrichia infection
レムナント高脂血症	Remnant hyperlipidaemia
レンサ桿菌検査陽性	Streptobacillus test positive
レンサ球菌性咽頭炎	Pharyngitis streptococcal
レンサ球菌性扁桃炎	Tonsillitis streptococcal
レンサ球菌性膿痂疹	Streptococcal impetigo
レンサ球菌性膿皮症	Pyoderma streptococcal
レンサ球菌性菌血症	Streptococcal bacteraemia
レンサ球菌性蜂巣炎	Cellulitis streptococcal
レンサ球菌性髄膜炎	Meningitis streptococcal
レンサ球菌検査陰性	Streptococcus test negative
レンサ球菌検査陽性	Streptococcus test positive
レンチウイルス感染	Lentivirus infection
ロイコトリエン増加	Leukotriene increased
ロイコトリエン検査	Leukotriene test
ロイコトリエン減少	Leukotriene decreased
ロキシスロマイシン	Roxithromycin
ロシオウイルス感染	Rocio virus infection
ロタウイルス胃腸炎	Gastroenteritis rotavirus
ロドシュードモナス	Rhodopseudomonas
ロンベルグ試験陽性	Romberg test positive
ワクシニアウイルス	Vaccinia virus
ワクシニア検査陽性	Vaccinia test positive
ワクチン接種合併症	Vaccination complication
ワクチン接種部位斑	Vaccination site macule
三日熱マラリア原虫	Plasmodium vivax
上咽頭の良性新生物	Nasopharyngeal neoplasm benign
上室性頻脈性不整脈	Supraventricular tachyarrhythmia
下咽頭の良性新生物	Hypopharyngeal neoplasm benign
下垂体スキャン異常	Pituitary scan abnormal
下肢静止不能症候群	Restless legs syndrome
下顎補てつ物使用者	Mandibular prosthesis user
不妊手術後再疎通術	Sterilisation reversal
不妊症のパートナー	Infertile partner
不整脈誘発性心筋症	Arrhythmia induced cardiomyopathy
不正な処方せん入手	Illicit prescription attainment
中咽頭の良性新生物	Oropharyngeal neoplasm benign
中咽頭リンパ上皮腫	Oropharyngeal lymphoepithelioma
乳児の栄養摂取不良	Poor feeding infant
乳房アブレーション	Breast ablation
乳房嚢胞ドレナージ	Breast cyst drainage
乳房被膜拘縮解除術	Breast capsulotomy
乳房超音波検査正常	Ultrasound breast normal
乳房超音波検査異常	Ultrasound breast abnormal
乳腺内リンパ節腫脹	Intramammary lymphadenopathy
乳腺神経内分泌腫瘍	Neuroendocrine breast tumour
乳酸／ピルビン酸比	Lactate pyruvate ratio
乳頭腫ウイルス感染	Papilloma viral infection
予防接種の効果不良	Vaccination failure
予防的患者体位変換	Prophylactic patient repositioning
亜急性硬化性全脳炎	Subacute sclerosing panencephalitis
交差適合試験不適合	Crossmatch incompatible
人工流産による出血	Induced abortion haemorrhage
人工流産による感染	Induced abortion infection
介護ストレス症候群	Caregiver stress syndrome
付合い程度の飲酒者	Social alcohol drinker
代謝性アシドーシス	Metabolic acidosis
企図的医療機器誤用	Intentional device misuse
会陰裂傷縫合部離開	Perineal repair breakdown
低カリウム血症候群	Hypokalaemic syndrome
低血圧性輸血副作用	Hypotensive transfusion reaction
体内医療機器の露出	Internal device exposed
使用医療機器の誤り	Wrong device used
便中キモトリプシン	Stool chymotrypsin
便中ナトリウム増加	Stool sodium increased
便中ラクトフェリン	Faecal lactoferrin
促進型心室固有調律	Accelerated idioventricular rhythm
側頭骨茎状突起切除	Temporal bone styloidectomy
偶発的医療機器誤飲	Accidental device ingestion
傍十二指腸ヘルニア	Paraduodenal hernia
傍気管リンパ節腫脹	Paratracheal lymphadenopathy
傍腫瘍性神経症候群	Paraneoplastic neurological syndrome
先天性ウイルス感染	Congenital viral infection
先天性コンジローマ	Congenital condyloma
先天性メラノーシス	Congenital melanosis
先天性中脳水道狭窄	Congenital aqueductal stenosis
先天性内分泌系異常	Congenital endocrine anomaly
先天性四肢発育不全	Limb hypoplasia congenital
先天性梅毒性髄膜炎	Congenital syphilitic meningitis
先天性気管支拡張症	Congenital bronchiectasis
先天性気管支軟化症	Congenital bronchomalacia
先天性皮膚形成不全	Aplasia cutis congenita
先天性皮膚掌紋異常	Dermatoglyphic anomaly
先天性眼球運動失行	Congenital oculomotor apraxia
先天性神経学的障害	Congenital neurological disorder
先天性筋無力症候群	Congenital myasthenic syndrome
先天性筋緊張低下児	Congenital floppy infant
先天性網膜芽細胞腫	Congenital retinoblastoma
先天性肝胆道系異常	Congenital hepatobiliary anomaly
先天性脈絡網膜変性	Chorioretinal degeneration congenital
先天性脊柱管狭窄症	Congenital spinal stenosis
先天性脊椎すべり症	Congenital spondylolisthesis
先天性腹部ヘルニア	Congenital abdominal hernia
先天性膀胱尿管逆流	Congenital vesicoureteric reflux
先天性色素沈着障害	Congenital pigmentation disorder
先天性血小板減少症	Congenital thrombocytopenia
先天性血液凝固異常	Congenital coagulopathy
先天性血液学的障害	Congenital haematological disorder
先天性食道ウエッブ	Congenital oesophageal web
先天性鼡径ヘルニア	Congenital inguinal hernia
免疫グロブリン増加	Immunoglobulins increased
免疫グロブリン正常	Immunoglobulins normal
免疫グロブリン減少	Immunoglobulins decreased
免疫グロブリン異常	Immunoglobulins abnormal
免疫グロブリン療法	Immunoglobulin therapy
免疫回復ぶどう膜炎	Immune recovery uveitis
免疫性血小板減少症	Immune thrombocytopenia
免疫芽球性リンパ腫	Immunoblastic lymphoma
全身性ウイルス感染	Systemic viral infection
全身性バルトネラ症	Systemic bartonellosis
全身性剥脱性皮膚炎	Dermatitis exfoliative generalised
内分泌性ミオパチー	Myopathy endocrine
内分泌系処置合併症	Endocrine procedural complication
円形細胞型脂肪肉腫	Round cell liposarcoma
再発性化膿性胆管炎	Recurrent pyogenic cholangitis
再発性多発性硬化症	Relapsing multiple sclerosis
再発濾胞性リンパ腫	Follicular lymphoma recurrent
再発直腸Ｓ状結腸癌	Rectosigmoid cancer recurrent
再発骨外性軟骨肉腫	Extraskeletal chondrosarcoma recurrent
冠動脈バイパス狭窄	Coronary bypass stenosis
処置によるショック	Procedural shock
処置による腸管穿孔	Procedural intestinal perforation
出産後ストレス障害	Postpartum stress disorder
出血性びらん性胃炎	Haemorrhagic erosive gastritis
出血性十二指腸潰瘍	Duodenal ulcer haemorrhage
分節ヒアリン血管炎	Segmented hyalinising vasculitis
分節性動脈中膜融解	Segmental arterial mediolysis
分類不能脊椎関節炎	Undifferentiated spondyloarthritis
前房内インプラント	Intracameral implant
前立腺容積測定検査	Prostate volume study
前立腺部尿路上皮癌	Prostatic urothelial carcinoma
前置胎盤による出血	Placenta praevia haemorrhage
副交感神経活動低下	Reduced parasympathetic activity
副鼻腔ポリープ切除	Paranasal sinus polypectomy
副鼻腔炎に伴う頭痛	Sinus headache
劣等コンプレックス	Inferiority complex
労作性横紋筋融解症	Exertional rhabdomyolysis
動脈カテーテル挿入	Arterial catheterisation
包装デザインの問題	Packaging design issue
化学物質性気管支炎	Bronchitis chemical
化学療法毒性の減弱	Chemotherapy toxicity attenuation
化学的薬物配合禁忌	Drug chemical incompatibility
区域性憩室性大腸炎	Segmental diverticular colitis
医療機器による治療	Device therapy
医療機器による疼痛	Medical device pain
医療機器の警報問題	Device alarm issue
医療機器アレルギー	Device allergy
医療機器リード損傷	Device lead damage
医療機器光学的問題	Device optical issue
医療機器効果不十分	Device effect incomplete
医療機器埋込み過誤	Device implantation error
医療機器接続不具合	Device connection issue
医療機器材質の問題	Device material issue
医療機器材質の混濁	Device material opacification
医療機器色調の問題	Device colour issue
医療機器装着の問題	Device deployment issue
医療機器設置の問題	Device placement issue
医療機器間相互作用	Device interaction
医療機器関連敗血症	Device related sepsis
医療機器関連菌血症	Device related bacteraemia
医療機器関連血栓症	Device related thrombosis
医療機器音響の問題	Device audio issue
医療的蛋白同化療法	Medical anabolic therapy
医薬品ノマディズム	Pharmaceutical nomadism
十二指腸括約筋切開	Duodenal sphincterotomy
単一遺伝子性糖尿病	Monogenic diabetes
単純ヘルペス性肺炎	Herpes simplex pneumonia
単純ヘルペス性胃炎	Herpes simplex gastritis
単純ヘルペス髄膜炎	Herpes simplex meningitis
卵巣漿液性嚢胞腺癌	Serous cystadenocarcinoma ovary
卵巣粘液性嚢胞腺癌	Mucinous cystadenocarcinoma ovary
卵巣超音波検査異常	Ultrasound ovary abnormal
卵巣過剰刺激症候群	Ovarian hyperstimulation syndrome
原発性乳腺リンパ腫	Primary breast lymphoma
原発性副腎機能不全	Primary adrenal insufficiency
原発性心臓リンパ腫	Primary cardiac lymphoma
原発性性腺機能低下	Primary hypogonadism
原発性精巣機能不全	Testicular failure primary
原発性線毛機能不全	Primary ciliary dyskinesia
原発性胆汁性胆管炎	Primary biliary cholangitis
原発性進行性失語症	Primary progressive aphasia
口腔顔面筋機能療法	Orofacial myofunctional therapy
合併症を伴う虫垂炎	Complicated appendicitis
周期性好中球減少症	Cyclic neutropenia
呼吸器ジスキネジア	Respiratory dyskinesia
呼吸性アシドーシス	Respiratory acidosis
咽頭クラミジア感染	Pharyngeal chlamydia infection
器質性勃起機能不全	Organic erectile dysfunction
四日熱マラリア原虫	Plasmodium malariae
回収対象製品の適用	Recalled product administered
回避された投薬過誤	Intercepted medication error
固定性扁豆状角化症	Hyperkeratosis lenticularis perstans
埋込み部位そう痒感	Implant site pruritus
埋込み部位光線過敏	Implant site photosensitivity
埋込み部位異常感覚	Implant site paraesthesia
埋込み部位皮膚剥脱	Implant site exfoliation
埋込み部位知覚低下	Implant site hypoaesthesia
埋込み部位知覚過敏	Implant site hyperaesthesia
埋込み部位過敏反応	Implant site hypersensitivity
増強的薬物相互作用	Potentiating drug interaction
増殖性化膿性口内炎	Pyostomatitis vegetans
増殖性奇形腫症候群	Growing teratoma syndrome
増殖性硝子体網膜症	Proliferative vitreoretinopathy
壊死性潰瘍性歯周炎	Necrotising ulcerative periodontitis
壊死融解性肢端紅斑	Necrolytic acral erythema
壊疽性大腿ヘルニア	Femoral hernia gangrenous
壊疽性瘢痕ヘルニア	Incisional hernia gangrenous
壊疽性腹部ヘルニア	Abdominal hernia gangrenous
壊疽性裂孔ヘルニア	Hiatal hernia gangrenous
壊疽性鼡径ヘルニア	Inguinal hernia gangrenous
声帯毛細血管拡張症	Vocal cord telangiectasia
外側膝蓋支帯解離術	Patellar lateral release
外傷による眼球陥入	Enophthalmos traumatic
外傷性くも膜下出血	Traumatic subarachnoid haemorrhage
外科的歯科矯正治療	Orthognathic surgery
外科的血管シャント	Surgical vascular shunt
外陰腟皮膚粘膜剥脱	Vulvovaginal exfoliation
外陰部メラノーシス	Vulvar melanosis
外陰部腟カンジダ症	Vulvovaginal candidiasis
多嚢胞性甲状腺疾患	Polycystic thyroid disease
多巣性線維性硬化症	Multifocal fibrosclerosis
多発性内分泌新生物	Multiple endocrine neoplasia
多発性骨端異形成症	Multiple epiphyseal dysplasia
多系統炎症性症候群	Multisystem inflammatory syndrome
大動脈ステント挿入	Aortic stent insertion
大動脈弁閉鎖不全症	Aortic valve incompetence
大動脈肺動脈窓修復	Aorticopulmonary window repair
大腿骨減捻骨切り術	Femoral derotation osteotomy
女性オルガズム障害	Female orgasmic disorder
女性生殖器ポリープ	Female genital polyp
好中球減少性大腸炎	Neutropenic colitis
好中球減少性敗血症	Neutropenic sepsis
好塩基球百分率増加	Basophil percentage increased
好塩基球百分率減少	Basophil percentage decreased
好酸球陽イオン蛋白	Eosinophil cationic protein
子宮内膜扁平上皮癌	Squamous endometrial carcinoma
子宮平滑筋腫石灰化	Uterine leiomyoma calcification
子宮広間膜平滑筋腫	Broad ligament leiomyoma
子宮超音波検査正常	Ultrasound uterus normal
子宮超音波検査異常	Ultrasound uterus abnormal
子宮頚部スミア正常	Smear cervix normal
子宮頚部スミア異常	Smear cervix abnormal
子宮頚部上皮異形成	Cervical dysplasia
子宮頚部周囲縫合法	Cervix cerclage procedure
家族性拡張型心筋症	Familial dilated cardiomyopathy
家族性赤血球増加症	Familial polycythaemia
家族性軟骨石灰化症	Familial chondrocalcinosis
寒冷誘発性異常感覚	Cold dysaesthesia
尺骨突き上げ症候群	Ulnocarpal abutment syndrome
尿中アミロイド小体	Corpora amylacea urine
尿中アルコール検査	Urine alcohol test
尿中アルドステロン	Aldosterone urine
尿中アルブミン陰性	Albumin urine absent
尿中アルブミン陽性	Albumin urine present
尿中アンチモン増加	Urine antimony increased
尿中アンチモン減少	Urine antimony decreased
尿中アンフェタミン	Urine amphetamine
尿中カソモルフィン	Urine casomorphin
尿中カルシウム増加	Urine calcium increased
尿中カルシウム正常	Urine calcium normal
尿中カルシウム減少	Urine calcium decreased
尿中クレアチン増加	Creatine urine increased
尿中クレアチン正常	Creatine urine normal
尿中クレアチン減少	Creatine urine decreased
尿中クレアチン異常	Creatine urine abnormal
尿中グロブリン陽性	Globulin urine present
尿中システイン陰性	Cysteine urine absent
尿中システイン陽性	Cysteine urine present
尿中シュウ酸塩増加	Urine oxalate increased
尿中シュウ酸塩減少	Urine oxalate decreased
尿中セレニウム増加	Urine selenium increased
尿中セレニウム正常	Urine selenium normal
尿中セレニウム減少	Urine selenium decreased
尿中セレニウム異常	Urine selenium abnormal
尿中ナトリウム正常	Urine sodium normal
尿中ナトリウム減少	Urine sodium decreased
尿中ナトリウム異常	Urine sodium abnormal
尿中バルビツール酸	Urine barbiturates
尿中ビリルビン増加	Urine bilirubin increased
尿中ビリルビン減少	Urine bilirubin decreased
尿中ビリルビン陽性	Bilirubin urine present
尿中ベリリウム増加	Urine beryllium increased
尿中ベリリウム減少	Urine beryllium decreased
尿中ホモシステイン	Homocysteine urine
尿中乳酸脱水素酵素	Lactate dehydrogenase urine
尿中総エストロゲン	Oestrogens total urine
尿毒症性ミオパチー	Uraemic myopathy
尿管カテーテル留置	Ureteral catheterisation
尿管瘻造設部不快感	Ureterostomy site discomfort
尿素サイクル異常症	Urea cycle disorder
尿道カルンクル除去	Urethral caruncle removal
巨大結膜円蓋症候群	Giant fornix syndrome
帯状疱疹性髄膜脳炎	Herpes zoster meningoencephalitis
幽門括約筋機能不全	Pyloric sphincter insufficiency
形質芽球性リンパ腫	Plasmablastic lymphoma
後天性指被角線維症	Acquired digital fibrokeratoma
後天性涙嚢ヘルニア	Dacryocystocoele acquired
後天性穿孔性皮膚症	Acquired perforating dermatosis
後天性膀胱位置異常	Bladder malposition acquired
後天性舌小帯短縮症	Ankyloglossia acquired
後天性色素性網膜症	Acquired pigmented retinopathy
後天性食道ウエッブ	Acquired oesophageal web
後腹膜の良性新生物	Benign retroperitoneal neoplasm
後腹膜リンパ節腫脹	Retroperitoneal lymphadenopathy
後骨髄球百分率増加	Metamyelocyte percentage increased
微少病変糸球体腎炎	Glomerulonephritis minimal lesion
微生物学的検査正常	Microbiology test normal
微生物学的検査異常	Microbiology test abnormal
心アミロイドーシス	Cardiac amyloidosis
心サルコイドーシス	Cardiac sarcoidosis
心モニタリング正常	Cardiac monitoring normal
心モニタリング異常	Cardiac monitoring abnormal
心因性勃起機能不全	Psychogenic erectile dysfunction
心室性頻脈性不整脈	Ventricular tachyarrhythmia
心臓アブレーション	Cardiac ablation
心臓カテーテル除去	Cardiac catheter removal
心電図テレメトリー	Cardiac telemetry
急性ポルフィリン症	Porphyria acute
急性リンパ性白血病	Acute lymphocytic leukaemia
急性出血性白質脳炎	Acute haemorrhagic leukoencephalitis
急性散在性脳脊髄炎	Acute disseminated encephalomyelitis
急性未分化型白血病	Acute undifferentiated leukaemia
急性黄斑神経網膜症	Acute macular neuroretinopathy
性器マイコプラズマ	Mycoplasma genitalium
性転換ホルモン療法	Transgender hormonal therapy
悪性ガストリノーマ	Gastrinoma malignant
悪性リンパ様新生物	Malignant lymphoid neoplasm
悪性乏突起神経膠腫	Malignant oligodendroglioma
悪性線維性組織球腫	Malignant fibrous histiocytoma
悪性血管周囲細胞腫	Malignant haemangiopericytoma
感染性結晶状角膜症	Infectious crystalline keratopathy
感染性虹彩毛様体炎	Infectious iridocyclitis
慢性リンパ性白血病	Chronic lymphocytic leukaemia
慢性乳頭腫状皮膚炎	Chronic papillomatous dermatitis
慢性好酸球性白血病	Chronic eosinophilic leukaemia
