member	name	display	category	standard_unit	unit_ucum	data_type	state_class	aggregation_policy	loinc	window	panel	aggregation_methods	derived	description	since
WALKING_SPEED	walkingSpeeds	Walking Speed	Activity Metrics	m/s	m/s	series	instant	mean_min_max		00:00		avg,max		Walking speed	1.4.0
STEPS	steps	Steps	Activity Metrics	count	{#}	series	cumulative	sum_delta		00:00		total		Walking step count	1.4.0
STEP_DURATION	stepDuration	Step Duration	Activity Metrics	ms	ms	series	instant	last		00:00				Walking step duration	1.4.0
DAILY_STEPS	dailySteps	Daily Steps	Activity Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Daily total step count summary	1.4.0
DAILY_AVG_HEART_RATE	dailyAvgHeartRate	Daily Avg Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Daily average heart rate summary	1.4.0
DAILY_WEIGHT	dailyWeight	Daily Weight	Body Composition	kg	kg	summary	provider_daily	provider_value		00:00				Daily weight measurement summary	1.4.0
DAILY_SLEEP_EFFICIENCY	dailySleepEfficiency	Daily Sleep Efficiency	Sleep Metrics	%	%	summary	provider_daily	provider_value		00:00				Daily sleep efficiency summary	1.4.0
DAILY_SLEEP_DURATION	dailySleepDuration	Daily Sleep Duration	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily total time in bed	1.4.0
DAILY_TOTAL_SLEEP_TIME	dailyTotalSleepTime	Daily Total Sleep Time	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily total sleep time	1.4.0
DAILY_DEEP_SLEEP	dailyDeepSleep	Daily Deep Sleep	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily langchain sleep duration	1.4.0
DAILY_LIGHT_SLEEP	dailyLightSleep	Daily Light Sleep	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily light sleep duration	1.4.0
DAILY_REM_SLEEP	dailyRemSleep	Daily REM Sleep	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily REM sleep duration	1.4.0
DAILY_AWAKE_TIME	dailyAwakeTime	Daily Awake Time	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily awake time during sleep	1.4.0
DAILY_SLEEP_LATENCY	dailySleepLatency	Daily Sleep Latency	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily sleep onset latency	1.4.0
DAILY_SLEEP_AVG_HEART_RATE	dailySleepAvgHeartRate	Daily Sleep Avg Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Daily average heart rate during sleep	1.4.0
DAILY_SLEEP_LOWEST_HEART_RATE	dailySleepLowestHeartRate	Daily Sleep Lowest Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Daily lowest heart rate during sleep	1.4.0
DAILY_SLEEP_AVG_HRV	dailySleepAvgHrv	Daily Sleep Avg HRV	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily average HRV during sleep	1.4.0
DAILY_WORKOUT_AVG_HRV	dailyWorkoutAvgHrv	Daily Workout Avg HRV	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Daily average HRV during workout	1.4.0
DAILY_SLEEP_RESPIRATORY_RATE	dailySleepRespiratoryRate	Daily Sleep Respiratory Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Daily average respiratory rate during sleep	1.4.0
DAILY_SLEEP_SKIN_TEMPERATURE	dailySleepSkinTemperature	Daily Sleep Skin Temperature	Vital Signs	°C	Cel	summary	provider_daily	provider_value		00:00				Daily average skin temperature during sleep	1.4.0
DAILY_SLEEP_TEMPERATURE_DELTA	dailySleepTemperatureDelta	Daily Sleep Temperature Delta	Vital Signs	°C	Cel	summary	provider_daily	provider_value		00:00				Daily temperature deviation from baseline	1.4.0
STRAIN	strain	Strain	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Strain score, cardiovascular load indicator calculated from heart rate data	1.4.0
STRESS_LEVEL	stressLevel	Stress Level	Performance Metrics	%	%	mix	instant	last		00:00				Body stress level score	1.4.0
STRESS_HIGH_DURATION	stressHighDuration	Stress High Duration	Performance Metrics	min	min	summary	provider_daily	provider_value		00:00				Duration of high stress state per day (Oura daily_stress.stress_high, seconds→minutes)	1.4.0
RECOVERY_HIGH_DURATION	recoveryHighDuration	Recovery High Duration	Performance Metrics	min	min	summary	provider_daily	provider_value		00:00				Duration of high recovery state per day (Oura daily_stress.recovery_high, seconds→minutes)	1.4.0
SUBCUTANEOUS_FAT	bodySubFat	Subcutaneous Fat	Body Composition	%	%	mix	instant	last		00:00	body_composition			Subcutaneous fat percentage	1.4.0
TEMPERATURE_DELTA	temperatureDelta	Temperature Delta	Vital Signs	°C	Cel	series	instant	last		00:00				Body temperature change during sleep	1.4.0
TOTAL_SLEEP	sleepAnalysis_Asleep(Total)	Total Sleep	Sleep Metrics	ms	ms	series	interval	duration_union		18:00		total		Total actual sleep time	1.4.0
TOTAL_SLEEP_TIME	totalSleepTime	Total Sleep Time	Sleep Metrics	seconds	s	series	instant	last		18:00				Total actual sleep time	1.4.0
TRAINING_LOAD	trainingLoad	Training Load	Performance Metrics	score	{score}	series	instant	last		00:00				Training intensity and load score	1.4.0
DAILY_TRAINING_LOAD	dailyTrainingLoad	Daily Training Load	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Training intensity and load score	1.4.0
USER_GENDER	userGender	User Gender	Lifestyle	enum	enum	mix	instant	last		00:00				User gender information	1.4.0
USER_SEX	userSex	User Sex	Lifestyle	enum	enum	series	instant	last		00:00				User biological sex	1.4.0
UV_EXPOSURE	uvExposures	Uv Exposure	Lifestyle	count	{#}	series	instant	last		00:00				UV exposure index	1.4.0
VISCERAL_FAT	bodyVisFat	Visceral Fat	Body Composition	%	%	mix	instant	last		00:00	body_composition			Visceral fat level around organs	1.4.0
VO2_MAX	vo2Maxs	VO2 Max	Performance Metrics	mL/min/kg	mL/min/kg	mix	instant	last	60842-2	00:00		avg,max		Maximum oxygen uptake capacity	1.4.0
WAIST_CIRCUMFERENCE	waistCircumferences	Waist Circumference	Body Composition	m	m	series	instant	last		00:00		last		Waist circumference	1.4.0
WALKING_HEART_RATE	walkingHeartRates	Walking Heart Rate	Vital Signs	count/min	/min	series	instant	mean_min_max		00:00		avg,min,max		Heart rate during walking	1.4.0
DAILY_WALKING_HEART_RATE	dailyWalkingHeartRates	Daily Walking Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Heart rate during walking	1.4.0
WEIGHT	bodyMasss	Weight	Body Composition	kg	kg	series	instant	last	29463-7	00:00	body_composition	last		Total body weight	1.4.0
WHEELCHAIR_USE	wheelchairUse	Wheelchair Use	Lifestyle	boolean	boolean	series	instant	last		00:00				Whether wheelchair is used	1.4.0
WORKOUT_DURATION	workoutDuration	Workout Duration	Performance Metrics	min	min	mix	session	duration_union		00:00				Total workout duration	1.4.0
WORKOUT_DURATION_HIGH	workoutDurationHigh	Workout Duration High	Performance Metrics	min	min	series	session	duration_union		00:00				High-intensity workout duration	1.4.0
WORKOUT_DURATION_LOW	workoutDurationLow	Workout Duration Low	Performance Metrics	min	min	series	session	duration_union		00:00				Low-intensity workout duration	1.4.0
WORKOUT_DURATION_MEDIUM	workoutDurationMedium	Workout Duration Medium	Performance Metrics	min	min	series	session	duration_union		00:00				Medium-intensity workout duration	1.4.0
WORKOUT_STRAIN	workoutStrain	Workout Strain	Performance Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Body stress score for single workout	1.4.0
WRIST_TEMPERATURE	wristTemperatures	Wrist Temperature	Vital Signs	°C	Cel	series	instant	last		00:00				Wrist skin temperature	1.4.0
DAILY_DEEP_SLEEP_PERCENTAGE	dailyDeepSleepPercentage	Daily Deep Sleep Percentage	Sleep Metrics	%	%	summary	provider_daily	provider_value		00:00				Deep sleep percentage of total sleep	1.4.0
DAILY_LIGHT_SLEEP_PERCENTAGE	dailyLightSleepPercentage	Daily Light Sleep Percentage	Sleep Metrics	%	%	summary	provider_daily	provider_value		00:00				Light sleep percentage of total sleep	1.4.0
DAILY_REM_SLEEP_PERCENTAGE	dailyRemSleepPercentage	Daily REM Sleep Percentage	Sleep Metrics	%	%	summary	provider_daily	provider_value		00:00				REM sleep percentage of total sleep	1.4.0
DAILY_SLEEP_CYCLE_TIMES	dailySleepCycleTimes	Daily Sleep Cycle Times	Sleep Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of sleep cycles	1.4.0
DAILY_SLEEP_CONTINUITY	dailySleepContinuity	Daily Sleep Continuity	Sleep Metrics	ratio	1	summary	provider_daily	provider_value		00:00				Sleep continuity index	1.4.0
DAILY_SLEEP_SFFCY	dailySleepSffcy	Daily Sleep Sffcy	Sleep Metrics	ratio	1	summary	provider_daily	provider_value		00:00				Sleep efficiency assessment indicator	1.4.0
DAILY_RESPIRATORY_RATES	dailyRespiratoryRates	Daily Respiratory Rates	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Average respiratory rate during sleep	1.4.0
DAILY_MAX_RESPIRATORY_RATES	dailyMaxRespiratoryRates	Daily Max Respiratory Rates	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Highest respiratory rate during sleep	1.4.0
DAILY_MIN_RESPIRATORY_RATES	dailyMinRespiratoryRates	Daily Min Respiratory Rates	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Lowest respiratory rate during sleep	1.4.0
DAILY_BASE_RESPIRATORY_RATES	dailyBaseRespiratoryRates	Daily Base Respiratory Rates	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Baseline respiratory rate for this sleep session	1.4.0
DAILY_FAST_RESPIRATORY_DURATION	dailyFastRespiratoryDuration	Daily Fast Respiratory Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration of fast respiratory rate	1.4.0
DAILY_SLOW_RESPIRATORY_DURATION	dailySlowRespiratoryDuration	Daily Slow Respiratory Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration of slow respiratory rate	1.4.0
DAILY_HYPOPNEA_INDEX	dailyHypopneaIndex	Daily Hypopnea Index	Medical Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of hypopnea events during sleep	1.4.0
DAILY_SLEEP_BASE_HEART_RATE	dailySleepBaseHeartRate	Daily Sleep Base Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Baseline heart rate for this sleep session	1.4.0
DAILY_SLEEP_MAX_HEART_RATE	dailySleepMaxHeartRate	Daily Sleep Max Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Maximum heart rate during sleep	1.4.0
DAILY_SLEEP_MIN_HEART_RATE	dailySleepMinHeartRate	Daily Sleep Min Heart Rate	Vital Signs	count/min	/min	summary	provider_daily	provider_value		00:00				Minimum heart rate during sleep	1.4.0
DAILY_SLEEP_FAST_HEART_RATE_DURATION	dailySleepFastHeartRateDuration	Daily Sleep Fast Heart Rate Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration of fast heart rate during sleep	1.4.0
DAILY_SLEEP_SLOW_HEART_RATE_DURATION	dailySleepSlowHeartRateDuration	Daily Sleep Slow Heart Rate Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration of slow heart rate during sleep	1.4.0
DAILY_SLEEP_HEART_RATE_OVER_115PCT_DURATION	dailySleepHeartRateOver115pctDuration	Daily Sleep Heart Rate Over 115pct Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration when heart rate exceeds 115% of baseline	1.4.0
DAILY_SLEEP_HEART_RATE_OVER_125PCT_DURATION	dailySleepHeartRateOver125pctDuration	Daily Sleep Heart Rate Over 125pct Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration when heart rate exceeds 125% of baseline	1.4.0
DAILY_SLEEP_HEART_RATE_BELOW_75PCT_DURATION	dailySleepHeartRateBelow75pctDuration	Daily Sleep Heart Rate Below 75pct Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration when heart rate is below 75% of baseline	1.4.0
DAILY_SLEEP_HEART_RATE_BELOW_85PCT_DURATION	dailySleepHeartRateBelow85pctDuration	Daily Sleep Heart Rate Below 85pct Duration	Vital Signs	ms	ms	summary	provider_daily	provider_value		00:00				Duration when heart rate is below 85% of baseline	1.4.0
SLEEP_LONG_TERM_BASE_SDNN	sleepLongTermBaseSDNN	Sleep Long Term Base Sdnn	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Long-term baseline SDNN for heart rate variability	1.4.0
SLEEP_TOTAL_HEART_ENERGY	sleepTotalHeartEnergy	Sleep Total Heart Energy	Metabolic Metrics	ms²	ms²	summary	provider_daily	provider_value		00:00				Total heart energy measurement	1.4.0
SLEEP_BASE_TOTAL_HEART_ENERGY	sleepBaseTotalHeartEnergy	Sleep Base Total Heart Energy	Metabolic Metrics	ms²	ms²	summary	provider_daily	provider_value		00:00				Baseline reference for total heart energy	1.4.0
SLEEP_VAGAL_TONE_INDEX	sleepVagalToneIndex	Sleep Vagal Tone Index	Metabolic Metrics	ms²	ms²	summary	provider_daily	provider_value		00:00				Vagal tone index measurement	1.4.0
SLEEP_BASE_VAGAL_TONE_INDEX	sleepBaseVagalToneIndex	Sleep Base Vagal Tone Index	Metabolic Metrics	ms²	ms²	summary	provider_daily	provider_value		00:00				Baseline reference for vagal tone index	1.4.0
SLEEP_SYMPATHETIC_TONE_INDEX	sleepSympatheticToneIndex	Sleep Sympathetic Tone Index	Metabolic Metrics	ms²	ms²	summary	provider_daily	provider_value		00:00				Sympathetic tone index measurement	1.4.0
SLEEP_BASE_SYMPATHETIC_TONE_INDEX	sleepBaseSympatheticToneIndex	Sleep Base Sympathetic Tone Index	Metabolic Metrics	ms²	ms²	summary	provider_daily	provider_value		00:00				Baseline reference for sympathetic tone index	1.4.0
SLEEP_AUTONOMIC_BALANCE_INDEX	sleepAutonomicBalanceIndex	Sleep Autonomic Balance Index	Metabolic Metrics	ratio	1	summary	provider_daily	provider_value		00:00				Autonomic nervous system balance measurement	1.4.0
SLEEP_BASE_AUTONOMIC_BALANCE_INDEX	sleepBaseAutonomicBalanceIndex	Sleep Base Autonomic Balance Index	Metabolic Metrics	ratio	1	summary	provider_daily	provider_value		00:00				Baseline reference for autonomic balance index	1.4.0
SLEEP_HEART_RATE_DECELERATION_CAPACITY	sleepHeartRateDecelerationCapacity	Sleep Heart Rate Deceleration Capacity	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Heart rate deceleration capacity reflecting vagal nerve regulation ability	1.4.0
SLEEP_LONG_TERM_HEART_RATE_DECELERATION_CAPACITY	sleepLongTermHeartRateDecelerationCapacity	Sleep Long Term Heart Rate Deceleration Capacity	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Long-term heart rate deceleration capacity	1.4.0
SLEEP_ARRHYTHMIA_RISK_INDEX	sleepArrhythmiaRiskIndex	Sleep Arrhythmia Risk Index	Medical Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Arrhythmia risk index reflecting overall heart rhythm variability	1.4.0
SLEEP_TEMP_VASOMOTOR_INDEX	sleepTempVasomotorIndex	Sleep Temp Vasomotor Index	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Temperature and vasomotor index	1.4.0
SLEEP_BASE_TEMP_VASOMOTOR_INDEX	sleepBaseTempVasomotorIndex	Sleep Base Temp Vasomotor Index	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Baseline temperature and vasomotor index (30-day baseline)	1.4.0
SLEEP_FEMALE_HORMONE_INDEX	sleepFemaleHormoneIndex	Sleep Female Hormone Index	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Female hormone index	1.4.0
SLEEP_BASE_FEMALE_HORMONE_INDEX	sleepBaseFemaleHormoneIndex	Sleep Base Female Hormone Index	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Baseline female hormone index (30-day baseline)	1.4.0
SLEEP_HEART_RATE_RMSSD	sleepHeartRateRMSSD	Sleep Heart Rate Rmssd	Metabolic Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Parasympathetic (vagal) regulation ability of the heart	1.4.0
DAILY_SLEEP_IN_BED_PILLOW_OFF_COUNT	dailySleepInBedPillowOffCount	Daily Sleep In Bed Pillow Off Count	Sleep Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of times leaving pillow during sleep	1.4.0
DAILY_SLEEP_TOTAL_PILLOW_OFF_COUNT	dailySleepTotalPillowOffCount	Daily Sleep Total Pillow Off Count	Sleep Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Total number of times leaving pillow	1.4.0
DAILY_SLEEP_BODY_MOVEMENT_COUNT	dailySleepBodyMovementCount	Daily Sleep Body Movement Count	Sleep Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of body movements during sleep	1.4.0
DAILY_SLEEP_AVG_BODY_MOVEMENT_DUR	dailySleepAvgBodyMovementDur	Daily Sleep Avg Body Movement Dur	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Average duration of body movements	1.4.0
DAILY_AWAKE_TIMES	dailyAwakeTimes	Daily Awake Times	Sleep Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of awakenings during sleep	1.4.0
DAILY_AWAKE_DURATION	dailyAwakeDuration	Daily Awake Duration	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Total duration of awake time	1.4.0
DAILY_AWAKE_DURATION_PERCENTAGE	dailyAwakeDurationPercentage	Daily Awake Duration Percentage	Sleep Metrics	%	%	summary	provider_daily	provider_value		00:00				Percentage of awake time in total sleep	1.4.0
SLEEP_END_TIME	sleepEndTime	Sleep End Time	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Sleep end timestamp	1.4.0
SLEEP_START_TIME	sleepStartTime	Sleep Start Time	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Sleep start timestamp	1.4.0
SLEEP_REPORT_TIME	sleepReportTime	Sleep Report Time	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Sleep report start timestamp	1.4.0
IN_BED_START_TIME	inBedStartTime	In Bed Start Time	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Time when getting into bed	1.4.0
END_SLEEP_REPORT_TIME_OFFSET	endSleepReportTimeOffset	End Sleep Report Time Offset	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Sleep end time offset from report start	1.4.0
START_SLEEP_REPORT_TIME_OFFSET	startSleepReportTimeOffset	Start Sleep Report Time Offset	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Sleep start time offset from report start	1.4.0
DAILY_IN_BED_DURATION	dailyInBedDuration	Daily In Bed Duration	Sleep Metrics	ms	ms	summary	provider_daily	provider_value		00:00				Total time in bed	1.4.0
HEALTH_CORONARY_HEART_DISEASE	healthCoronaryHeartDisease	Health Coronary Heart Disease	Health Metrics	bool	bool	summary	provider_daily	provider_value		00:00				Whether user has coronary heart disease	1.4.0
HEALTH_HYPERTENSION	healthHypertension	Health Hypertension	Health Metrics	bool	bool	summary	provider_daily	provider_value		00:00				Whether user has hypertension	1.4.0
HEALTH_DIABETES_MELLITUS	healthDiabetesMellitus	Health Diabetes Mellitus	Health Metrics	bool	bool	summary	provider_daily	provider_value		00:00				Whether user has diabetes mellitus	1.4.0
HEALTH_DISEASE_COUNT	healthDiseaseCount	Health Disease Count	Health Metrics	count	{#}	summary	provider_daily	provider_value		00:00				Number of diseases user has	1.4.0
HEALTH_HYPERTENSION_CONTROL	healthHypertensionControl	Health Hypertension Control	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Hypertension control level assessment	1.4.0
HEALTH_BLOOD_PRESSURE_REGULATION	healthBloodPressureRegulation	Health Blood Pressure Regulation	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Blood pressure regulation ability assessment	1.4.0
HEALTH_CORONARY_DISEASE_CONTROL	healthCoronaryDiseaseControl	Health Coronary Disease Control	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Coronary disease control level assessment	1.4.0
HEALTH_CORONARY_ARTERY_FUNCTION	healthCoronaryArteryFunction	Health Coronary Artery Function	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Coronary artery function assessment	1.4.0
HEALTH_DIABETES_CONTROL	healthDiabetesControl	Health Diabetes Control	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Diabetes control level assessment	1.4.0
HEALTH_BLOOD_SUGAR_BALANCE	healthBloodSugarBalance	Health Blood Sugar Balance	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Blood sugar regulation ability assessment	1.4.0
HEALTH_CHRONIC_DISEASE_INDEX	healthChronicDiseaseIndex	Health Chronic Disease Index	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Chronic disease prevention and control ability assessment	1.4.0
HEALTH_INFECTION_RISK	healthInfectionRisk	Health Infection Risk	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Infection risk assessment during sleep	1.4.0
HEALTH_IMMUNE_BALANCE	healthImmuneBalance	Health Immune Balance	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Immune system balance level	1.4.0
DAILY_SLEEP_ANXIETY_LEVEL	dailySleepAnxietyLevel	Daily Sleep Anxiety Level	Mental Health	%	%	summary	provider_daily	provider_value		00:00				Anxiety level assessment during sleep	1.4.0
DAILY_SLEEP_EMOTIONAL_STRESS	dailySleepEmotionalStress	Daily Sleep Emotional Stress	Mental Health	%	%	summary	provider_daily	provider_value		00:00				Emotional stress level during sleep	1.4.0
MENTAL_EMOTIONAL_STATE	mentalEmotionalState	Mental Emotional State	Mental Health	%	%	summary	provider_daily	provider_value		00:00				Emotional and mental state assessment	1.4.0
MENTAL_STRESS_RESISTANCE	mentalStressResistance	Mental Stress Resistance	Mental Health	%	%	summary	provider_daily	provider_value		00:00				Stress resistance ability assessment	1.4.0
HEALTH_OVERALL_SCORE	healthOverallScore	Health Overall Score	Health Metrics	%	%	summary	provider_daily	provider_value		00:00				Overall health status assessment score	1.4.0
SLEEP_OVERALL_SCORE	sleepOverallScore	Sleep Overall Score	Sleep Metrics	%	%	summary	provider_daily	provider_value		00:00				Overall sleep quality assessment score	1.4.0
FEMALE_CHARM_SCORE	femaleCharmScore	Female Charm Score	Lifestyle	%	%	summary	provider_daily	provider_value		00:00				Female user overall report score	1.4.0
FEMALE_MOISTURE_INDEX	femaleMoistureIndex	Female Moisture Index	Lifestyle	ratio	1	summary	provider_daily	provider_value		00:00				Female user moisture index	1.4.0
FEMALE_WEIGHT_GAIN_INDEX	femaleWeightGainIndex	Female Weight Gain Index	Lifestyle	ratio	1	summary	provider_daily	provider_value		00:00				Female user weight gain tendency index	1.4.0
FEMALE_MENSTRUAL_CYCLE_PHASE	femaleMenstrualCyclePhase	Female Menstrual Cycle Phase	Body Composition	enum	enum	summary	provider_daily	provider_value		00:00				Current menstrual cycle phase	1.4.0
FEMALE_IS_PREDICTED_OVULATION_DAY	femaleIsPredictedOvulationDay	Female Is Predicted Ovulation Day	Body Composition	bool	bool	summary	provider_daily	provider_value		00:00				Whether it is predicted ovulation day	1.4.0
REPRODUCTIVE_BASAL_BODY_TEMPERATURE	reproductiveBasalBodyTemperature	Reproductive Basal Body Temperature	Reproductive Health	°C	Cel	summary	provider_daily	provider_value		00:00				Basal body temperature	1.4.0
REPRODUCTIVE_CERVICAL_MUCUS_QUALITY	reproductiveCervicalMucusQuality	Reproductive Cervical Mucus Quality	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Cervical mucus quality	1.4.0
REPRODUCTIVE_CONTRACEPTIVE	reproductiveContraceptive	Reproductive Contraceptive	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Contraceptive method	1.4.0
REPRODUCTIVE_INFREQUENT_MENSTRUAL_CYCLES	reproductiveInfrequentMenstrualCycles	Reproductive Infrequent Menstrual Cycles	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Infrequent menstrual cycles	1.4.0
REPRODUCTIVE_INTERMENTSTRUAL_BLEEDING	reproductiveIntermenstrualBleeding	Reproductive Intermentstrual Bleeding	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Intermenstrual bleeding	1.4.0
REPRODUCTIVE_IRREGULAR_MENSTRUAL_CYCLES	reproductiveIrregularMenstrualCycles	Reproductive Irregular Menstrual Cycles	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Irregular menstrual cycles	1.4.0
REPRODUCTIVE_LACTATION	reproductiveLactation	Reproductive Lactation	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Lactation	1.4.0
REPRODUCTIVE_MENSTRUATION_FLOW	reproductiveMenstruationFlow	Reproductive Menstruation Flow	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Menstruation flow	1.4.0
REPRODUCTIVE_OVULATION_TEST_RESULT	reproductiveOvulationTestResult	Reproductive Ovulation Test Result	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Ovulation test result	1.4.0
REPRODUCTIVE_PERSISTENT_INTERMENSTRUCAL_BLEEDING	reproductivePersistentIntermenstrualBleeding	Reproductive Persistent Intermenstrucal Bleeding	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Persistent intermenstrual bleeding	1.4.0
REPRODUCTIVE_PREGNANCY	reproductivePregnancy	Reproductive Pregnancy	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Pregnancy	1.4.0
REPRODUCTIVE_PREGNANCY_TEST_RESULT	reproductivePregnancyTestResult	Reproductive Pregnancy Test Result	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Pregnancy test result	1.4.0
REPRODUCTIVE_PROGESTERONE_TEST_RESULT	reproductiveProgEstrogenTestResult	Reproductive Progesterone Test Result	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Progesterone test result	1.4.0
REPRODUCTIVE_PROLONGED_MENSTRUAL_PERIODS	reproductiveProlongedMenstrualPeriods	Reproductive Prolonged Menstrual Periods	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Prolonged menstrual periods	1.4.0
REPRODUCTIVE_SEXUAL_ACTIVITY	reproductiveSexualActivity	Reproductive Sexual Activity	Reproductive Health	enum	enum	summary	provider_daily	provider_value		00:00				Sexual activity	1.4.0
SEDENTARY_TIME	sedentaryTime	Sedentary Time	Activity Metrics	min	min	summary	provider_daily	provider_value		00:00				Total sedentary time during the day	1.4.0
RESTING_TIME	restingTime	Resting Time	Activity Metrics	min	min	summary	provider_daily	provider_value		00:00				Total resting time during the day	1.4.0
DAILY_ACTIVITY_SCORE	dailyActivityScore	Daily Activity Score	Activity Metrics	score	{score}	summary	provider_daily	provider_value		00:00				Daily activity score (0-100)	1.4.0
BODY_FAT_MASS	bodyFatMass	Body Fat Mass	Body Composition	kg	kg	mix	instant	last		00:00	body_composition			Absolute fat mass from bioelectrical impedance; distinct from the fat percentage	1.4.0
BODY_MUSCLE_MASS	bodyMuscleMass	Muscle Mass	Body Composition	kg	kg	mix	instant	last		00:00	body_composition			Absolute muscle mass; distinct from the muscle percentage	1.4.0
BODY_SKELETAL_MUSCLE_MASS	bodySkeletalMuscleMass	Skeletal Muscle Mass	Body Composition	kg	kg	mix	instant	last		00:00	body_composition			Skeletal muscle mass	1.4.0
BODY_VISCERAL_FAT_LEVEL	bodyVisFatLevel	Visceral Fat Level	Body Composition	count	{#}	mix	instant	last		00:00	body_composition			Visceral fat as a scale level (device index), distinct from the visceral fat percentage	1.4.0
